id,intitule,entreprise,lieu,departement,contrat,experience,salaire,date_publication,rome,competences,url
213RFXS,CHARGE(E) D'ACQUISITION ET SUIVI CLIENT - B2B IT (H/F),ZEETIM,94 - VITRY SUR SEINE,94,CDI,3 An(s),Annuel de 40000.0 Euros à 50000.0 Euros,2026-09-10,M1718,Assurer la gestion administrative d'une activité,https://candidat.francetravail.fr/offres/recherche/detail/213RFXS
213QTHS,Chargé / Chargée marketing digital (H/F),,28 - NOGENT LE PHAYE,28,CDI,24 Mois - Marketing direct multicanal,Annuel de 30000.0 Euros à 32500.0 Euros,2026-09-09,M1718,"Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing | Savoir gérer plusieurs projets ou activités simultanément | SQL, Python",https://candidat.francetravail.fr/offres/recherche/detail/213QTHS
213QKXN,Analyste Solutions digitales Service Clients (H/F),NEXTLINK FRANCE,92 - Issy-les-Moulineaux,92,CDD,3 An(s),Annuel de 35000.0 Euros à 45000.0 Euros,2026-09-09,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/213QKXN
213PTYT,#FORUMMOUGINS2026 Chargé de marketing digital  (H/F),STAND TANCO & CO,06 - MOUGINS,06,CDD,Débutant accepté,,2026-09-09,M1718,Marketing des réseaux sociaux | Concevoir des supports de communication et d'image | Effectuer un reporting régulier à la hiérarchie | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213PTYT
213NPQQ,Coordinateur/trice en communication et marketing digital - 16h (H/F),ASS CENT VEDANT RAMAKRICHNA,77 - GRETZ-ARMAINVILLIERS,77,CDI,Débutant accepté,Mensuel de 900.0 Euros,2026-09-08,M1718,Analyser les besoins des utilisateurs pour la création de contenus multimédias | Concevoir des supports de communication et d'image | Mesurer le retour sur investissement d'une action marketing | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément,https://candidat.francetravail.fr/offres/recherche/detail/213NPQQ
213MTFK,CHARGE D'ACQUISITION DIGITIALE (H/F),PLANET FITNESS,13 - AIX EN PROVENCE,13,CDI,2 An(s),Mensuel de 2800.0 Euros à 2820.0 Euros,2026-09-07,M1718,Concevoir des supports de communication et d'image | Effectuer un reporting régulier à la hiérarchie | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213MTFK
213MPNQ,Business Analyst Digital (H/F),CWF CHILDREN WORLDWIDE FASHION,85 - LES HERBIERS,85,CDI,3 An(s),,2026-09-07,M1718,Veille concurrentielle sur le marché digital | Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Gérer les campagnes publicitaires digitales | Mettre en place des solutions d'amélioration de la performance,https://candidat.francetravail.fr/offres/recherche/detail/213MPNQ
213GXCL,Chargé / Chargée marketing digital (H/F),EDITIONS TECHNIQUES POUR L'AUTOMOBILE ET,94 - GENTILLY,94,CDI,2 An(s),,2026-09-02,M1718,Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément | Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing,https://candidat.francetravail.fr/offres/recherche/detail/213GXCL
213GCBP,Chargé / Chargée marketing digital (H/F),LEAD & CONNECT,69 - Saint-Genis-Laval,69,CDI,1 Mois,,2026-09-01,M1718,Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément | Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing,https://candidat.francetravail.fr/offres/recherche/detail/213GCBP
213DRLV,Responsable acquisition digitale et growth (H/F),ASS FONDATION ETUDIANTE POUR LA VILLE,75 - PARIS,75,CDD,3 An(s),Mensuel de 2892.0 Euros à 3032.0 Euros sur 12 mois,2026-08-31,M1718,Concevoir des supports de communication et d'image | Effectuer un reporting régulier à la hiérarchie | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213DRLV
212ZWMT,Chargé / Chargée marketing digital (H/F),MELITTA FRANCE,93 - Saint-Denis,93,CDD,2 An(s),Annuel de 30000.0 Euros à 34000.0 Euros,2026-08-27,M1718,Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément | Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing,https://candidat.francetravail.fr/offres/recherche/detail/212ZWMT
212ZCLW,Chargé(e) de Marketing Digital (H/F),ASSOCIATION IMC ALTERNANCE,93 - ST DENIS,93,CDD,1 An(s),Mensuel de 800.0 Euros à 1824.0 Euros sur 12.0 mois,2026-08-27,M1718,Marketing des réseaux sociaux | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Effectuer un reporting régulier à la hiérarchie | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/212ZCLW
212XYYW,Chargé de Marketing Digital/Réseaux Sociaux (H/F),,93 - Noisy-le-Grand,93,CDI,1 An(s),Mensuel de 2100.0 Euros,2026-08-26,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/212XYYW
212WVFS,Senior Product Marketing Manager (F/H/X) (H/F),EDITIONS TECHNIQUES POUR L'AUTOMOBILE ET,94 - GENTILLY,94,CDI,3 An(s),,2026-08-25,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/212WVFS
212VWGG,Chargés de marketing digital (H/F),PERFHOMME Lyon,69 - Lyon 3e Arrondissement,69,CDI,2 An(s),Annuel de 30000.0 Euros à 45000.0 Euros sur 12 mois,2026-08-24,M1718,Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément | Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing,https://candidat.francetravail.fr/offres/recherche/detail/212VWGG
212TZML,Chargé(e) de marke.ng digital - Tourisme social et solidaire (H/F),,49 - ANGERS,49,CDI,3 An(s),Horaire de 14.5 Euros,2026-08-24,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/212TZML
212SVDP,Chargé(e) de Marketing Solutions Digitales - CDI - H/F (H/F),ARCANES,13 - Marseille 8e Arrondissement,13,CDI,Débutant accepté,Annuel de 26000.0 Euros à 29000.0 Euros sur 12.0 mois,2026-08-21,M1718,Capacité à adapter le ton selon l'audience | Administration autonome d'un site WordPress  | Capacité à produire supports propres rapidement | Prises de vues et montage photo/vidéo | Aisance rédactionnelle  | À l'aise avec les sujets techniques,https://candidat.francetravail.fr/offres/recherche/detail/212SVDP
212QXGL,Chargé / Chargée marketing digital (H/F),ASTEELFLASH EUROPE,92 - Saint-Cloud,92,CDD,Débutant accepté,,2026-08-19,M1718,Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément | Analyser les besoins des utilisateurs pour la création de contenus multimédias | Mesurer le retour sur investissement d'une action marketing,https://candidat.francetravail.fr/offres/recherche/detail/212QXGL
212PFYN,CHARGE D ACQUISITION DIGITALE MARKETPLACE H/F (H/F),LEBRUN SA,62 - ARQUES,62,CDI,Débutant accepté,,2026-08-18,M1718,Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Mettre en place des solutions d'amélioration de la performance,https://candidat.francetravail.fr/offres/recherche/detail/212PFYN
212BJVM,Apprenti(e) Responsable d'activité commerciale et MarketingH/F,,34 - Béziers,34,CDD,Débutant accepté,Horaire de 12.31 Euros - % du smic selon l'âge,2026-08-04,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/212BJVM
211HCSM,Demand Generation Manager (H/F/X) (H/F),EDITIONS TECHNIQUES POUR L'AUTOMOBILE ET,94 - GENTILLY,94,CDI,8 An(s),,2026-07-16,M1718,Marketing des réseaux sociaux | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Effectuer un reporting régulier à la hiérarchie | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/211HCSM
211HCPS,Customer Growth & Intelligence Manager (H/F/X) (H/F),EDITIONS TECHNIQUES POUR L'AUTOMOBILE ET,94 - GENTILLY,94,CDI,8 An(s),,2026-07-16,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/211HCPS
210MQLM,Senior User Acquisition Manager (H/F),MILLION VICTORIES,69 - LYON,69,CDI,6 An(s) - Dans le secteur du JV,Annuel de 50000.0 Euros à 60000.0 Euros sur 12 mois,2026-06-30,M1718,Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Mettre en place des solutions d'amélioration de la performance,https://candidat.francetravail.fr/offres/recherche/detail/210MQLM
209FNBG,Chef(fe) de produit marketing junior (H/F),CENTRE VAL DE LOIRE EATT,45 - CHILLEURS AUX BOIS,45,MIS,Débutant accepté,Horaire de 12.31 Euros - selon profil,2026-06-03,M1718,Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Mettre en place des solutions d'amélioration de la performance,https://candidat.francetravail.fr/offres/recherche/detail/209FNBG
7093088,Consultant Lean Digital F/H,,69 - Lyon 1er Arrondissement,69,CDI,0 An(s),,2026-09-22,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/7093088
7092853,Data Analyse  Sénior - Freelance (H/F),Collective.work,91 - Massy,91,LIB,Débutant accepté,,2026-09-22,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/7092853
7092800,FREELANCE - Consultant Web & Marketing Digital (H/F) - Freelance,Collective.work,59 - Villeneuve-d'Ascq,59,LIB,2 An(s),,2026-09-22,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/7092800
7059865,Chargé de marketing (H/F),Forums Talents Handicap,78 - Vélizy-Villacoublay,78,MIS,Débutant accepté,,2026-09-21,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/7059865
7032653,Alternance Assistant Business Development & Stratégie Digitale - Paris (F/H),,75 - Paris,75,CDD,Débutant accepté,,2026-09-19,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/7032653
7030362,Traffic Manager - 5J sem - Lille - Freelance (H/F),Collective.work,59 - Lille,59,LIB,Débutant accepté,,2026-09-19,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/7030362
7030273,Consultant Data Analytics/ Data Marketing - Freelance (H/F),Collective.work,75 - Paris,75,LIB,2 An(s),,2026-09-19,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/7030273
7030258,Chargé(e) d'Acquisition Digital (SEA/Paid Média) - CDI // Aix-en-Provence - CDI (H/F),Collective.work,13 - Aix-en-Provence,13,CDI,2 An(s),Annuel de 36000.0 Euros à 39000.0 Euros,2026-09-19,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/7030258
6985713,Consultant Fonctionnel Digital (H/F) - Freelance,Collective.work,59 - Lille,59,LIB,3 An(s),,2026-09-18,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6985713
6966796,Consultant Lean Digital F/H,,01 - Valserhône,01,CDI,Débutant accepté,,2026-09-17,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6966796
6928591,Conseiller Clientèle Digital Business H/F,,79 - Niort,79,CDD,Débutant accepté,,2026-09-16,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6928591
6927386,Expert Digital Workplace - Freelance (H/F),Collective.work,75 - Paris,75,LIB,2 An(s),,2026-09-16,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6927386
6895789,Alternance Talent Acquisition et chargé(e) de Relations Ecoles - Paris (H/F),ISCOD,75 - Paris 15e Arrondissement,75,CDD,1 An(s),,2026-09-15,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6895789
6895262,Head of Mobile Engineering - Permanent (H/F),Collective.work,75 - Paris,75,CDI,Débutant accepté,,2026-09-15,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6895262
6895171,Digital Analyst / Web Analyst - Lille - Freelance (H/F),Collective.work,59 - Lille,59,LIB,Débutant accepté,,2026-09-15,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6895171
6866174,Consultant Senior CRM - Marketing Automation Senior (H/F),Fed Group,92 - Issy-les-Moulineaux,92,CDI,5 An(s),Annuel de 50000.0 Euros à 55000.0 Euros - Package +10%,2026-09-15,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6866174
6848568,"Consultant.e Data - Luxe, Retail, Hospitalité, Services - CDI H/F",,92 - Nanterre,92,CDI,Débutant accepté,,2026-09-12,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6848568
6827348,Alternance Business Developer & Communication (Marketing Digital & IA) H/F - Vitry-sur-Seine (F/H),,94 - Vitry-sur-Seine,94,CDD,Débutant accepté,,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6827348
6825887,Tech Recruiter / Talent Acquisition Partner - RPO - Freelance (H/F),Collective.work,75 - Paris,75,LIB,Débutant accepté,,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6825887
6825697,Product Owner - Échanges de Données (Fichiers & Messages) Freelance - Freelance (H/F),Collective.work,92 - Châtillon,92,LIB,3 An(s),,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6825697
6825452,Digital Analyst / Web Analyst - Freelance - Région lilloise - Freelance (H/F),Collective.work,59 - Roubaix,59,LIB,Débutant accepté,,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6825452
6825445,Software Engineer iOS H/F - Shopping App (Paris ou Lille) - Freelance,Collective.work,75 - Paris,75,LIB,Débutant accepté,,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6825445
6825195,Business Analyst Digital Marketing & IA (F/H) - Freelance,Collective.work,75 - Paris,75,LIB,Débutant accepté,,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6825195
6824998,Data Analyst Digital - Web Analyst (F/H) - Freelance,Collective.work,34 - Montpellier,34,LIB,Débutant accepté,,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6824998
6824651,Campaign Manager Digital - (H/F) - Freelance,Collective.work,94 - Rungis,94,LIB,3 An(s),,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6824651
6824480,Directeur / Directrice Marketing Fractional - Freelance (H/F),Collective.work,75 - Paris,75,LIB,Débutant accepté,,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6824480
6824309,Product Manager Média  - CDI (H/F),Collective.work,75 - Paris,75,CDI,Débutant accepté,Annuel de 54000.0 Euros à 64000.0 Euros,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6824309
6775796,MEDIAPOSTE - Chargé / Chargée de marketing digital (H/F),MEDIAPOSTE,75 - Paris 14e Arrondissement,75,CDD,2 An(s),Annuel de 32000.0 Euros à 35000.0 Euros - + 2000€ de variable / an,2026-09-09,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6775796
6738153,Chef de projet SEO et Marketing Digital H/F h/f,,41 - Saint-Ouen,41,CDI,2 An(s),,2026-09-08,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6738153
6728911,Business Consultant - Transformation Digitale & Secteur Nucléaire H/F,,69 - Lyon,69,MIS,Débutant accepté,,2026-09-08,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6728911
6707431,Chargé / Chargée d'acquisition online (H/F),MARBLE  I,75 - Paris 11e Arrondissement,75,CDD,Débutant accepté,,2026-09-08,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6707431
6707441,Chargé / Chargée d'acquisition online (H/F),MARBLE  I,75 - Paris 11e Arrondissement,75,CDD,Débutant accepté,,2026-09-08,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6707441
6707413,Chef / Cheffe de projet marketing digital (H/F),MIND ME AND CO,57 - Sarreguemines,57,CDD,Débutant accepté,,2026-09-08,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6707413
6707404,Web marketer (H/F),CLEER,75 - Paris 17e Arrondissement,75,CDD,Débutant accepté,,2026-09-08,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6707404
6697892,Burger King France - Chef / Cheffe de projet marketing digital (H/F),Burger King France,92 - Clichy,92,CDI,2 An(s),,2026-09-07,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6697892
6682640,Alternance - Chargé de Marketing Digital - Bachelor H/F,,35 - Bruz,35,CDD,Débutant accepté,,2026-09-06,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6682640
6682593,Alternance - Community Manager - Bachelor Marketing Digital H/F,,35 - Betton,35,CDD,Débutant accepté,,2026-09-06,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6682593
6667404,Alternance Chargé(e) de Marketing Digital & Acquisition - Lyon (F/H),,69 - Lyon,69,CDD,Débutant accepté,,2026-09-05,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6667404
6644267,Chargé / Chargée marketing digital (H/F),COTE D'AZUR VILLAS,06 - Valbonne,06,CDD,Débutant accepté,,2026-09-05,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6644267
6639382,Chargé de marketing digital (H/F),,69 - Lyon 5e Arrondissement,69,CDI,3 An(s),,2026-09-05,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6639382
6625400,Consultant Senior Capital markets & accounting advisory 26-27 (H/F),,92 - Levallois-Perret,92,MIS,Débutant accepté,,2026-09-04,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6625400
6598657,Chargé / Chargée marketing digital (H/F),GESTION ENTREPRISE CONSEIL TRANSMISSION GECT,89 - Paron,89,CDD,Débutant accepté,,2026-09-04,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6598657
6598654,Chargé / Chargée marketing digital (H/F),M LACE COLLECTION,972 - Fort-de-France,97,CDD,Débutant accepté,,2026-09-04,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6598654
6577107,Consultant/Consultante Manager Digital Finance H/F,,92 - Nanterre,92,CDI,Débutant accepté,,2026-09-03,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6577107
6577080,Consultant/Consultante Manager - Digital Workplace H/F,,92 - Nanterre,92,CDI,Débutant accepté,,2026-09-03,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6577080
6576371,Alternance Chargé de Projets Marketing digital - Paris (F/H),,75 - Paris,75,CDD,Débutant accepté,,2026-09-03,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6576371
6539995,Web marketer (H/F),YONIS DISTRIBUTION,33 - Mérignac,33,CDD,Débutant accepté,,2026-09-03,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6539995
6531897,Responsable acquisition digitale et growth à Paris (H/F),AFEV,75 - Paris,75,CDD,3 An(s),Mensuel de 2892.0 Euros à 3032.0 Euros,2026-09-02,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6531897
6512105,ALTERNANT(E) EN CREATION DE CONTENU UGC I INFLUENCE I ACQUISITION (H/F),,Luxembourg,,CDI,Débutant accepté,,2026-09-02,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6512105
6505988,Spécialiste en marketing digital (H/F),,35 - Saint-Malo,35,CDI,Débutant accepté,Annuel de 28000.0 Euros à 32000.0 Euros,2026-09-02,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6505988
6478487,Chargé / Chargée d'acquisition online (H/F),CN FINANCE GESTION,06 - Mougins,06,CDD,Débutant accepté,,2026-09-01,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6478487
6445558,Chargé / Chargée marketing digital (H/F),ASTON.AI,92 - Neuilly-sur-Seine,92,CDD,Débutant accepté,,2026-08-31,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6445558
6445554,Chargé / Chargée marketing digital (H/F),MP NETTOYAGE,84 - Avignon,84,CDD,Débutant accepté,,2026-08-31,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6445554
6445528,Chargé / Chargée d'acquisition online (H/F),CN FINANCE GESTION,06 - Mougins,06,CDD,Débutant accepté,,2026-08-31,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6445528
6445510,Chargé / Chargée marketing digital (H/F),TDV MEDIA,31 - Toulouse,31,CDD,Débutant accepté,,2026-08-31,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6445510
6445550,Chef / Cheffe de projet marketing digital (H/F),NOMAD FORMATION,59 - Tourcoing,59,CDD,Débutant accepté,,2026-08-31,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6445550
6418399,Business Consultant - Transformation Digitale & Secteur Nucléaire H/F,,92 - Courbevoie,92,MIS,Débutant accepté,,2026-08-29,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6418399
6398590,Chef de projet marketing (H/F),GROUPE PEOPLE AND BABY,75 - Paris 9e Arrondissement,75,CDI,3 An(s),Annuel de 35000.0 Euros à 40000.0 Euros,2026-08-29,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6398590
6207918,ALTERNANCE - Chargé de Marketing Digital & Communication F/H,,59 - Lille,59,CDD,Débutant accepté,,2026-08-22,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6207918
6206090,Business Consultant - Transformation Digitale H/F,,92 - Courbevoie,92,MIS,Débutant accepté,,2026-08-22,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6206090
6170114,Talent Acquisition Officer H/F,,50 - Cherbourg-en-Cotentin,50,MIS,Débutant accepté,,2026-08-21,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6170114
5857224,Expert Growth Acquisition F/H - Nanterre - CDI h/f,,92 - Nanterre,92,CDI,Expérience exigée,,2026-08-08,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/5857224
5718443,Web marketer (H/F),TEMMOS HOTELS,74 - Chamonix-Mont-Blanc,74,CDD,Débutant accepté,,2026-08-05,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/5718443
