id,intitule,entreprise,lieu,departement,contrat,experience,salaire,date_publication,rome,competences,url
5688028,Chef / Cheffe de projet marketing digital (H/F),MSD,971 - Basse-Terre,97,CDD,Débutant accepté,,2026-08-03,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/5688028
5463117,Alternance Chef de projet marketing digital junior - Neuilly-sur-Seine (F/H),,92 - Neuilly-sur-Seine,92,CDD,Débutant accepté,,2026-07-25,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/5463117
6398590,Chef de projet marketing (H/F),GROUPE PEOPLE AND BABY,75 - Paris 9e Arrondissement,75,CDI,3 An(s),Annuel de 35000.0 Euros à 40000.0 Euros,2026-08-29,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6398590
4828826,Chef de projet marketing (H/F),COOPERATIVE EUREDEN,29 - Landerneau,29,CDI,3 An(s),,2026-07-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/4828826
6738741,Chef de projet SEO H/F,Robert Walters,93 - Saint-Ouen-sur-Seine,93,CDI,4 An(s),Annuel de 49000.0 Euros à 53000.0 Euros - Package,2026-09-09,M1716,,https://candidat.francetravail.fr/offres/recherche/detail/6738741
6576371,Alternance Chargé de Projets Marketing digital - Paris (F/H),,75 - Paris,75,CDD,Débutant accepté,,2026-09-03,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6576371
6824651,Campaign Manager Digital - (H/F) - Freelance,Collective.work,94 - Rungis,94,LIB,3 An(s),,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6824651
6824480,Directeur / Directrice Marketing Fractional - Freelance (H/F),Collective.work,75 - Paris,75,LIB,Débutant accepté,,2026-09-11,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6824480
6866174,Consultant Senior CRM - Marketing Automation Senior (H/F),Fed Group,92 - Issy-les-Moulineaux,92,CDI,5 An(s),Annuel de 50000.0 Euros à 55000.0 Euros - Package +10%,2026-09-15,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/6866174
7030316,"Directeur de Programme - Marketing Automation, Personnalisation & IA - Freelance (H/F)",Collective.work,75 - Paris,75,LIB,Débutant accepté,,2026-09-19,M1886,,https://candidat.francetravail.fr/offres/recherche/detail/7030316
7006676,Chargé de projets Marketing & Digital H/F,Groupe Merling,17 - Périgny,17,CDI,Débutant accepté,Mensuel de 1900.0 Euros,2026-09-18,M1705,,https://candidat.francetravail.fr/offres/recherche/detail/7006676
6804556,Alternance chargé de marketing digital (H/F) - Avignon (84),ICADEMIE,84 - Avignon,84,CDD,Débutant accepté,Mensuel de 800.0 Euros à 1900.0 Euros,2026-09-10,M1705,,https://candidat.francetravail.fr/offres/recherche/detail/6804556
